Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2019_Mouse__Lysine degradation,-0.5223709227675487,-2.061322314063636,0.001,0.001,0.009,17/56,7.11%,PLOD2;ACAT1;EHHADH;HADH;ALDH9A1;ACAT2;AADAT;DLD;KMT5C;GCDH;AASS;KMT5A;HADHA;SUV39H1;SETD3;DLST;PLOD1
prerank,KEGG_2019_Mouse__Primary bile acid biosynthesis,-0.7386380286858294,-2.054465257730965,0.001,0.001,0.01,6/13,8.35%,AMACR;CYP7B1;HSD17B4;ACOT8;ACOX2;SCP2
prerank,KEGG_2019_Mouse__Ribosome,0.46314277464912335,1.9661868448624926,0.001,0.001,0.024,76/133,27.90%,RPS14;RPL13A;RPL32;RPS26;RPS16;RPS23;RPL18A;RPS18;RPS27L;RPS15;RPLP2;RPS20;RPS13;RPS9;RPL13;RPL21;MT-RNR2;RPL37A;RPL23;RPL19;RPL36A;RPS19;RPL28;RPS8;RPL14;MRPS11;RPS4X;RPS15A;RPS21;RPS25;RPL37;RPL18;RPL5;RPL36;MRPS6;RPS11;RPL35;RPL38;RPL36AL;FAU;RPLP0;RPL9;RPS7;RPS27A;RPSA;RPS10;RPS12;UBA52;RPS28;RPL23A;RPS17;RPL24;RPS27;MRPS21;RPL30;RPL34;MT-RNR1;RPL12;RPL31;RPS29;MRPL14;RPS3;RPL26;MRPS15;RPL41;RPL10;RPL27;MRPL23;RPLP1;RPL27A;RPS5;RPL39;RPS3A1;MRPS18C;MRPS12;RPL10A
prerank,KEGG_2019_Mouse__Oxidative phosphorylation,-0.4692983159682163,-2.05041446696353,0.001,0.001,0.01,41/99,21.77%,ATP6V0D2;ATP6V1A;NDUFA10;ATP6V1C2;ATP6V1G3;NDUFS1;ATP6V0A4;SDHC;NDUFS2;ATP12A;ATP6V1H;NDUFA9;ATP6V0D1;ATP6V1E1;COX11;NDUFB5;ATP6AP1;UQCRFS1;ATP6V0A2;ATP6V1B2;ATP6V0E;NDUFS4;ATP6V1B1;ATP6V0A1;SDHD;NDUFC2;PPA1;SDHA;UQCRC2;NDUFS3;ATP6V1D;NDUFV2;ATP6V1G2;NDUFV1;ATP6V0E2;ATP6V1C1;UQCRC1;CYC1;ATP6V1G1;ATP6V0C;NDUFB4C
prerank,KEGG_2019_Mouse__Aminoacyl-tRNA biosynthesis,-0.6260999017951102,-2.0492012734809633,0.002325581395348837,0.001,0.01,15/25,23.13%,FARSB;RARS2;MTFMT;YARS2;TARS2;CARS2;PSTK;GATC;DARS2;GATB;QRSL1;NARS2;IARS2;HARS2;FARS2
prerank,KEGG_2019_Mouse__Natural killer cell mediated cytotoxicity,0.5099232635223624,2.041667613674424,0.001,0.001,0.004,32/87,18.27%,ITGAL;RAC2;H2-D1;H2-K1;ITGB2;PRKCB;TYROBP;LCK;ICAM1;ZAP70;FCER1G;LCP2;SOS1;PIK3CD;LAT;SH2D1B1;CD48;ULBP1;SYK;PIK3R3;VAV2;H2-T23;FYN;CD247;CD244A;SOS2;VAV1;FCGR4;TNFRSF10B;KLRA9;TNF;KLRC1
prerank,KEGG_2019_Mouse__Pertussis,0.5301003025624829,2.0221090812155715,0.001,0.001,0.008,28/64,16.09%,C4B;C1QA;C3;C1QB;ITGB2;C1QC;SERPING1;FOS;IRF8;C2;CD14;C1S1;TICAM2;NFKB1;CASP1;C4BP;IL12B;MAPK11;TRAF6;TLR4;NOD1;MAPK12;IRF1;C1S2;C1RA;MAPK8;MAPK10;LY96
prerank,GO_Cellular_Component_2026__Vacuolar Proton-Transporting V-type ATPase Complex (GO:0016471),-0.7052922050296869,-2.3072515423852615,0.001,0.001,0.001,20/25,21.57%,ATP6V0D2;ATP6V1A;ATP6V1C2;ATP6V1G3;ATP6V0A4;ATP6AP2;ATP6V1H;ATP6V0D1;ATP6V1E1;ATP6AP1;ATP6V0A2;ATP6V1B2;ATP6V1B1;ATP6V0A1;ATP6V1D;ATP6V1G2;ATP6V0E2;ATP6V1C1;ATP6V1G1;ATP6V0C
prerank,KEGG_2019_Mouse__Th17 cell differentiation,0.5693697236485247,2.297036825072343,0.001,0.001,0.001,37/93,12.92%,H2-AB1;H2-AA;H2-EB1;CD3D;CD3E;H2-DMA;IL21R;LCK;H2-DMB2;ZAP70;FOS;IL2RB;NFKBIE;IL17F;H2-OB;AHR;H2-DMB1;H2-OA;CD4;JAK3;CD3G;LAT;IL1RAP;IL4RA;IL2RA;NFKB1;TGFBR1;IRF4;TBX21;MAPK11;STAT3;RUNX1;TGFB1;IL2RG;CD247;MAPK12;IL6RA
prerank,GO_Cellular_Component_2026__Peroxisomal Membrane (GO:0005778),-0.5818346830995192,-2.307735290035675,0.001,0.001,0.001,32/53,22.08%,ABCD3;GNPAT;HSD17B4;PXMP4;PEX19;PECR;DHRS4;PEX11G;CAT;PEX7;ABCD1;DECR2;PEX5;FAR1;SLC27A2;SLC25A17;PEX11A;PNPLA8;PXMP2;PEX2;PEX3;DHRS7B;USP30;ATAD1;PEX1;IMPDH2;ABCD4;NBR1;TTC1;ACBD5;PEX12;PEX14
prerank,KEGG_2019_Mouse__Staphylococcus aureus infection,0.7778526086652875,2.8028138740712207,0.001,0.001,0.001,26/48,4.90%,C4B;ITGAL;C1QA;C3;H2-AB1;C1QB;H2-AA;SELPLG;H2-EB1;PTAFR;H2-DMA;FGG;ITGB2;C1QC;ICAM1;H2-DMB2;C3AR1;C2;CFI;H2-OB;C5AR1;H2-DMB1;CFB;H2-OA;C1S1;MASP2
prerank,KEGG_2019_Mouse__Autoimmune thyroid disease,0.8207144700105439,2.7142318763863775,0.001,0.001,0.001,25/35,11.77%,H2-AB1;H2-AA;H2-D1;H2-K1;H2-EB1;H2-DMA;H2-Q2;H2-DMB2;CD86;H2-OB;H2-DMB1;H2-OA;CD28;H2-M3;H2-Q7;H2-Q6;H2-Q10;CTLA4;H2-Q4;TPO;TG;CD80;H2-T23;H2-M2;H2-T24
