Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,adj_pvalue,Gene_name
ENSMUSG00000040229,8.89786319371721,0.7116006165823171,0.9227367447917193,0.7711848700063852,0.4405973609173598,0.9995592180070957,Gpr34
ENSMUSG00000040225,806.5206664305675,-0.14049668656002737,0.21187359223949542,-0.6631156109403866,0.5072565132683844,0.9995592180070957,Prrc2c
ENSMUSG00000040220,150.8920102417399,0.19160872713250482,0.25841552220145064,0.7414753010971769,0.458405302034683,0.9995592180070957,Gas8
ENSMUSG00000040219,87.19478018879036,-0.047969546565014655,0.3117519796448572,-0.15387086433151376,0.8777115573755951,0.9995592180070957,Ttc12
ENSMUSG00000040213,561.5942582068994,-0.2234697915570033,0.2307607023905854,-0.9684048854157087,0.3328422005419388,0.9995592180070957,Kyat3
ENSMUSG00000040212,15.206605987496506,-0.5044196189390989,1.1103211166675337,-0.45430066254440027,0.6496124392680258,0.9995592180070957,Emp3
ENSMUSG00000040209,10.212864068687614,-0.21592722711310544,0.8685493303883355,-0.2486067510023439,0.8036649858840962,0.9995592180070957,Zfp704
ENSMUSG00000040204,48.253716327152816,0.38924991926197666,0.4194608225884255,0.9279768176202435,0.35341959500494824,0.9995592180070957,Pclaf
ENSMUSG00000040195,66.81463604847224,0.2991764281208971,0.3992921054362669,0.7492670755261156,0.4536962480478578,0.9995592180070957,Nemp1
ENSMUSG00000040189,97.52981647126937,-0.17804873794089976,0.3167998323851183,-0.5620228287382882,0.574100465380526,0.9995592180070957,Odad1
ENSMUSG00000040187,32.45719583768631,0.7107141964245973,0.546341102737436,1.3008616647430915,0.1933058100042977,0.9995592180070957,Bmal2
ENSMUSG00000040183,94.40015819299177,0.006120565583971996,0.36862304339846647,0.016603860484532745,0.9867526447623456,0.9995592180070957,Ankrd6
ENSMUSG00000040181,824.5243767676847,-0.26872826539536404,0.21379641031601557,-1.2569353479703091,0.20877704747892334,0.9995592180070957,Fmo1
ENSMUSG00000040177,89.44649876615519,-0.39264061969056246,0.39497918573652074,-0.9940792676414137,0.32018427791136794,0.9995592180070957,2310057M21Rik
ENSMUSG00000040174,117.57428458921069,-0.2522199712025506,0.3064211923215534,-0.8231152985589686,0.4104424297624555,0.9995592180070957,Alkbh3
ENSMUSG00000040170,808.5756787412811,0.06003623268981865,0.2620516911671417,0.22910072597671716,0.8187906292210754,0.9995592180070957,Fmo2
ENSMUSG00000040158,272.7548368400223,0.11564946524181424,0.3064900888172297,0.3773350899799565,0.705924598150163,0.9995592180070957,Tax1bp3
ENSMUSG00000040152,666.5665389725125,0.28660045731926237,0.3146353903688278,0.9108970767188592,0.3623496060911101,0.9995592180070957,Thbs1
ENSMUSG00000040151,226.78188151492208,-0.160343911572076,0.2108841334598435,-0.7603412781294362,0.4470506141012258,0.9995592180070957,Hs2st1
ENSMUSG00000040022,40.11955496164547,-0.6295979396204587,0.553512088651905,-1.137460143199154,0.2553459772738681,0.9995592180070957,Rab11fip2
ENSMUSG00000040021,312.08875925082026,0.07164904107334101,0.2417498277922804,0.29637680294400987,0.7669423385421974,0.9995592180070957,Lats1
ENSMUSG00000040018,1317.8088783090686,0.06415136263469132,0.24026385127419414,0.26700380558488773,0.789466230999774,0.9995592180070957,Cox15
ENSMUSG00000040017,5.23757249273932,0.3406754931628147,1.088122701747611,0.3130855487305457,0.7542156680223735,0.9995592180070957,Saa4
ENSMUSG00000039917,1018.6029091958878,-0.19671576048372313,0.20209780867543378,-0.9733690917928054,0.33036989469272193,0.9995592180070957,Rhbdd2
ENSMUSG00000039914,268.0301805852989,-0.12537742529162818,0.25611948516574806,-0.4895270861976394,0.6244685831055363,0.9995592180070957,Coq10a
ENSMUSG00000039913,12.727021711184104,0.49283035434118666,0.7881483942221785,0.6253014761611734,0.5317732113222946,0.9995592180070957,Pak5
ENSMUSG00000039911,106.19129395324369,0.32270150011454524,0.44361105283791463,0.7274424251833351,0.46695497312973056,0.9995592180070957,Spsb1
ENSMUSG00000039910,1009.6238095489367,-0.09151959450961226,0.18858239483012634,-0.4853029605019729,0.6274614557639051,0.9995592180070957,Cited2
ENSMUSG00000039908,191.9151178967002,-0.29672375150979835,0.23718353461292307,-1.2510301442047538,0.21092347978595327,0.9995592180070957,Slc26a11
ENSMUSG00000039903,10.74101703521718,0.968612243217049,1.130675718400205,0.8566667059831621,0.39162910854375355,0.9995592180070957,Eva1c
ENSMUSG00000039901,282.0727397338477,-0.20373867763765008,0.20190136941723014,-1.0091000285224572,0.31292666431872307,0.9995592180070957,Armh3
ENSMUSG00000039887,5.55627115332142,0.4248737556122306,1.2679593170750185,0.3350846907236323,0.7375612009975607,0.9995592180070957,Alg14
ENSMUSG00000039886,1149.5618871580405,-0.11872095123407143,0.2029481976234854,-0.5849815500915437,0.5585601225248564,0.9995592180070957,Tmem120a
ENSMUSG00000039883,13.639830539462123,0.049331649148073184,0.6740372234053787,0.0731883157711072,0.9416562641163109,0.9995592180070957,Lrrc17
ENSMUSG00000039879,189.07060509523333,-0.007603719014470403,0.270831085431688,-0.028075503232395004,0.9776019319587685,0.9995592180070957,Heca
ENSMUSG00000039878,22.797028984852602,-0.2067607029226997,0.6807336261019371,-0.3037321721664711,0.7613319453695774,0.9995592180070957,Slc39a5
ENSMUSG00000039873,18.096687606896776,-0.26394742577056696,0.6253291263455342,-0.4220936058313701,0.6729566949191264,0.9995592180070957,Neurl2
ENSMUSG00000039865,171.16522498162593,-0.11987119354309562,0.22246026440831676,-0.5388431676188109,0.5899950747511606,0.9995592180070957,Slc44a3
ENSMUSG00000039852,1149.3262829404082,0.12904819581386268,0.24859062605210724,0.5191193162159413,0.6036775389976452,0.9995592180070957,Rere
ENSMUSG00000039851,9.609599636053924,-0.2177345447954729,1.24193111725819,-0.1753193407990012,0.8608287153679628,0.9995592180070957,Epcip
ENSMUSG00000039850,177.66862371650237,-0.1758750697003987,0.2778173401064542,-0.6330600877288898,0.5266944047848874,0.9995592180070957,Endov
ENSMUSG00000039849,667.0078895045799,-0.12296008337049548,0.2676974692358948,-0.4593247882449839,0.6460009496243077,0.9995592180070957,Pcif1
ENSMUSG00000039842,25.745812658811136,0.5904477241143529,0.6448915708886872,0.9155767430805329,0.3598889340840705,0.9995592180070957,Mcph1
ENSMUSG00000039841,200.27227788475042,-0.06751991433473035,0.24691457983212875,-0.27345454602411695,0.7845038282073014,0.9995592180070957,Zfp800
ENSMUSG00000039929,68.9766357903814,-0.2957840091413138,0.41144542920499827,-0.7188900110345924,0.47220869158818024,0.9995592180070957,Urb1
ENSMUSG00000040250,85.92671483135106,0.03151004917425869,0.3941662106448835,0.07994102062352337,0.9362841644692952,0.9995592180070957,Ints13
ENSMUSG00000039934,133.4399458791752,-0.4315349373831577,0.38099900943800896,-1.1326405756794264,0.25736522184146493,0.9995592180070957,Gsap
ENSMUSG00000039942,69.70051760727564,0.46505323280827776,0.7274993444111625,0.6392490060382,0.5226609562864817,0.9995592180070957,Ptger4
ENSMUSG00000040009,74.55446843576772,0.24723875737871187,0.3563279179376875,0.6938517722934848,0.48777517100604273,0.9995592180070957,Gnaz
ENSMUSG00000040007,329.257421767307,0.08434691472830011,0.2510830538437425,0.33593232771811055,0.7369218982583275,0.9995592180070957,Bahd1
ENSMUSG00000040006,1159.9795494230045,-0.21280352322340546,0.1819907546752083,-1.169309526756936,0.2422789462221634,0.9995592180070957,Ginm1
ENSMUSG00000040003,276.19448066004685,-0.03812633593730428,0.24563859677860392,-0.1552131319642241,0.8766532959401061,0.9995592180070957,Magi2
ENSMUSG00000039994,71.9394560336297,-0.4271154871531768,0.5310118227253785,-0.8043427074015763,0.4211990793562832,0.9995592180070957,Timeless
ENSMUSG00000039990,114.86363898380321,0.3727294536045776,0.3888894320639918,0.9584458277159996,0.33783799575077456,0.9995592180070957,Edrf1
ENSMUSG00000039989,278.26901632357396,0.05924164821995344,0.3107239401368001,0.19065685184692097,0.8487944457332852,0.9995592180070957,Cbx4
ENSMUSG00000039988,678.5893108708758,-0.25886639922362625,0.1937278149091708,-1.3362376453014537,0.18147161013569002,0.9995592180070957,Ankrd13c
ENSMUSG00000039987,218.234104794213,-0.14365238820824944,0.3181132843391628,-0.4515762003044538,0.6515743185980513,0.9995592180070957,Phtf2
ENSMUSG00000039985,85.84070085400126,0.2501306341650231,0.5721783114604313,0.43715504267644856,0.661998911306955,0.9995592180070957,Sinhcaf
ENSMUSG00000039983,4.883014113026617,0.7875412069781416,1.3822227767751853,0.5697643102188823,0.5688375650997501,0.9995592180070957,Ccdc32
ENSMUSG00000039982,411.5685514053459,0.2961002038273293,0.197020001334858,1.5028941316677447,0.13286634653708318,0.9995592180070957,Dtx4
ENSMUSG00000039981,26.326891707443448,0.6035096034931514,0.625935092996666,0.9641728195871675,0.3349592889960358,0.9995592180070957,Zc3h12d
ENSMUSG00000039976,126.91143790910971,-0.07487718109125698,0.3798437658096186,-0.1971262604025102,0.8437287337745043,0.9995592180070957,Tbc1d16
ENSMUSG00000039967,313.96005807195576,0.3742918816849128,0.27780612620335066,1.3473132749093364,0.17787935847559644,0.9995592180070957,Zfp292
ENSMUSG00000039962,12.613937658229046,0.2974823434457755,1.05752478795413,0.28130058683662623,0.7784798602459584,0.9995592180070957,Or8b1
