Geneid,age3_SRR9126950,age3_SRR9127139,age3_SRR9127244,age18_SRR9126754,age18_SRR9126924,age18_SRR9127382,age18_SRR9127568
ENSMUSG00000100720,3,7,5,15,2,6,2
ENSMUSG00000025927,762,1113,481,1172,1288,1329,687
ENSMUSG00000142982,0,1,1,0,2,0,0
ENSMUSG00000100538,17,7,1,23,17,5,1
ENSMUSG00000101117,0,0,0,3,1,0,0
ENSMUSG00000100204,4,7,10,17,21,10,8
ENSMUSG00002076883,0,0,0,0,0,0,0
ENSMUSG00000141106,0,2,2,1,3,0,1
ENSMUSG00000102597,4,6,17,13,7,6,2
ENSMUSG00000142065,6,0,1,1,0,0,0
ENSMUSG00000136536,1,10,4,8,6,1,0
ENSMUSG00000043760,3804,3912,1579,3646,5867,4513,3280
ENSMUSG00000104095,16,45,19,37,54,18,29
ENSMUSG00000089914,32,47,27,25,66,32,20
ENSMUSG00000090142,24,21,7,9,39,25,36
ENSMUSG00000070175,8,3,0,3,5,4,2
ENSMUSG00000099906,6,8,0,29,18,0,14
ENSMUSG00000065559,0,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0,0
ENSMUSG00000133531,0,5,0,7,7,3,0
ENSMUSG00000025929,0,0,0,6,1,0,0
ENSMUSG00000041872,2,4,1,29,25,4,16
ENSMUSG00000041859,111,241,45,175,317,200,162
ENSMUSG00000099714,2,2,0,16,4,0,8
ENSMUSG00000102121,2,1,2,8,6,0,15
ENSMUSG00000088858,0,0,0,0,0,2,0
ENSMUSG00000097934,2,13,2,4,7,4,0
ENSMUSG00000025931,25,47,31,73,43,57,37
ENSMUSG00000077314,2,0,0,2,0,0,0
ENSMUSG00000133875,0,0,0,0,10,0,0
ENSMUSG00000100929,1,0,0,0,3,0,0
ENSMUSG00000041809,9,17,11,20,15,1,13
ENSMUSG00000041779,251,363,158,273,238,180,172
ENSMUSG00000137435,5,3,2,5,1,6,2
ENSMUSG00000099971,0,0,0,2,6,2,4
ENSMUSG00000129840,3,1,1,7,10,2,14
ENSMUSG00000100819,0,1,0,0,1,0,3
ENSMUSG00000129885,2,3,0,25,12,2,4
ENSMUSG00000099343,1,5,2,12,9,3,8
ENSMUSG00000025933,149,128,46,169,176,164,117
ENSMUSG00000102633,1,1,2,1,12,3,18
ENSMUSG00000025934,911,923,373,1320,1972,1314,1153
ENSMUSG00000138037,0,0,2,0,0,0,0
ENSMUSG00000096375,0,0,0,0,0,0,0
ENSMUSG00000121505,156,143,70,127,136,172,74
ENSMUSG00000025936,0,0,0,0,0,0,0
ENSMUSG00000141880,4,1,0,0,15,5,0
ENSMUSG00000093963,2,1,0,0,1,0,0
ENSMUSG00000141838,0,0,0,6,0,0,0
ENSMUSG00000067750,0,6,4,0,7,0,0
ENSMUSG00000086194,0,0,0,1,0,0,0
ENSMUSG00000141922,4,3,6,9,7,0,4
ENSMUSG00000094436,0,0,0,0,0,0,0
ENSMUSG00000041722,0,0,2,2,2,2,0
ENSMUSG00000085507,6,0,1,0,0,0,0
ENSMUSG00000094926,0,2,0,0,0,0,0
ENSMUSG00000085079,0,2,3,19,6,0,2
ENSMUSG00000129191,0,2,2,2,4,0,0
ENSMUSG00000085679,0,0,0,0,0,0,6
ENSMUSG00000028033,12,18,4,23,19,2,8
ENSMUSG00000104138,6,6,0,23,38,0,4
ENSMUSG00000128794,2,0,1,2,2,0,1
ENSMUSG00000082935,90,94,46,96,121,115,72
ENSMUSG00000103748,5,3,0,3,3,0,16
ENSMUSG00000124418,4,9,3,23,20,1,1
ENSMUSG00000123368,4,1,0,9,15,0,0
ENSMUSG00000099692,0,0,0,5,2,1,9
ENSMUSG00000140384,6,3,0,0,0,0,0
ENSMUSG00000124412,0,0,0,1,0,0,0
ENSMUSG00000100418,0,1,0,1,0,0,2
ENSMUSG00000128972,0,2,1,2,4,0,13
ENSMUSG00000135509,1,0,0,6,14,0,2
ENSMUSG00000041670,30,20,4,79,77,9,10
ENSMUSG00000097642,0,0,2,6,13,2,4
ENSMUSG00000131366,3,0,0,0,0,0,0
ENSMUSG00000141541,0,2,0,3,0,1,0
ENSMUSG00000128277,0,0,0,0,0,0,0
ENSMUSG00000101468,3,0,0,2,0,0,2
ENSMUSG00000101227,8,8,8,28,5,0,7
ENSMUSG00000073730,2,0,0,10,2,0,0
ENSMUSG00000141721,6,0,0,8,3,2,5
ENSMUSG00000141755,3,0,1,2,9,0,3
ENSMUSG00000089553,0,0,0,0,0,0,0
ENSMUSG00000102766,11,4,4,12,17,14,18
ENSMUSG00000134304,417,437,187,490,487,486,320
ENSMUSG00000065405,0,0,0,1,5,1,1
ENSMUSG00000097970,20,17,8,17,42,16,22
ENSMUSG00000065567,0,0,0,0,0,0,0
ENSMUSG00000100775,0,1,1,2,24,0,1
ENSMUSG00000133147,21,46,3,27,18,12,4
ENSMUSG00000101226,5,5,0,8,3,0,0
ENSMUSG00000026158,343,299,156,381,386,366,194
ENSMUSG00000138593,1,8,0,21,2,3,8
ENSMUSG00000097920,5,3,0,0,5,4,6
ENSMUSG00000099503,24,3,0,10,14,4,8
ENSMUSG00000142633,5,1,0,5,0,0,2
ENSMUSG00000026156,1078,1162,570,1436,1692,1779,821
ENSMUSG00000026155,411,579,192,454,523,468,410
ENSMUSG00000141937,0,0,2,1,0,0,0
ENSMUSG00000141893,5,9,3,5,5,0,3
ENSMUSG00000026154,311,444,178,330,483,330,340
ENSMUSG00000102495,1,3,5,4,5,0,3
ENSMUSG00000026153,594,669,335,619,646,809,735
ENSMUSG00000143955,1,0,0,0,0,0,2
ENSMUSG00000102398,19,13,2,13,8,0,6
ENSMUSG00000122847,26,51,9,52,41,6,21
ENSMUSG00000097670,0,5,2,4,17,0,3
ENSMUSG00000026147,3,10,2,40,23,8,19
ENSMUSG00000026141,148,150,19,166,174,47,116
ENSMUSG00000125396,8,10,1,8,23,0,0
ENSMUSG00000125434,2,0,0,6,2,0,0
ENSMUSG00000077463,0,0,2,0,0,0,0
ENSMUSG00000099997,7,10,7,20,19,0,3
ENSMUSG00000100131,100,159,395,156,174,214,89
ENSMUSG00000067736,48,72,88,67,98,143,59
ENSMUSG00000138098,15,9,1,27,27,8,12
ENSMUSG00000101939,0,0,0,0,0,0,0
ENSMUSG00000101111,315,321,628,243,851,425,501
ENSMUSG00000100862,268,285,784,341,438,2270,1218
ENSMUSG00000102070,155,354,323,92,195,127,279
ENSMUSG00000101249,146,112,190,246,214,2271,139
ENSMUSG00000127021,5,13,9,19,12,17,11
ENSMUSG00000073725,2442,2387,1064,2257,2910,2940,1640
ENSMUSG00000133176,0,0,0,2,6,0,0
ENSMUSG00000129414,0,0,0,2,0,0,0
ENSMUSG00000143216,0,3,0,4,6,0,6
ENSMUSG00000100808,1,0,0,1,0,0,0
ENSMUSG00000130976,8,0,0,2,0,0,9
ENSMUSG00000100483,2,4,0,4,7,1,1
ENSMUSG00000135830,4,0,2,4,2,1,0
ENSMUSG00000100450,4,4,0,0,2,0,0
ENSMUSG00000099392,1,0,0,18,3,0,1
ENSMUSG00000122244,5,12,11,47,15,0,6
ENSMUSG00000033569,57,57,14,102,140,37,35
ENSMUSG00000080849,0,3,0,0,0,0,0
ENSMUSG00000122289,6,0,1,0,2,0,1
ENSMUSG00000104257,0,0,0,0,0,0,0
ENSMUSG00000119153,0,0,0,0,0,0,0
ENSMUSG00000102296,0,3,4,0,1,0,0
ENSMUSG00000103209,2,8,2,2,17,0,30
ENSMUSG00000104027,4,21,2,21,20,11,12
ENSMUSG00000102407,12,6,0,14,12,11,0
ENSMUSG00000103214,22,0,6,55,41,14,7
ENSMUSG00000104100,6,6,0,32,12,2,3
ENSMUSG00000084740,0,4,5,0,0,0,0
ENSMUSG00000103889,10,18,4,7,16,4,6
ENSMUSG00000101301,4,0,0,9,12,0,4
ENSMUSG00000104221,5,9,0,5,20,0,12
ENSMUSG00000102250,29,20,10,73,32,12,9
ENSMUSG00000102317,16,16,0,18,25,12,0
ENSMUSG00000133748,1,4,0,4,3,0,2
